url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/buyersedgeplatformrecruiting/jobs/4689344005	2026-05-01	Greenhouse — Data Analyst 2026	Data Analyst II	Buyers Edge Platform	skipped_expired
https://job-boards.greenhouse.io/shopltk/jobs/7631920003	2026-05-01	Greenhouse — Data Analyst 2026	Data Analyst	LTK USA	skipped_expired
https://job-boards.greenhouse.io/gitlab/jobs/8455464002	2026-05-01	Greenhouse — Data Analyst 2026	Data Analyst, Product	GitLab	skipped_expired
https://jobs.lever.co/theinformationlab/eaa64bb6-30b9-44bf-a490-3a2ea9754c13	2026-05-01	Lever — Blue Yonder websearch	Data Analyst Consultant	The Information Lab	skipped_expired
https://job-boards.greenhouse.io/yipitdata/jobs/6855694	2026-05-01	Greenhouse — Data Analyst 2026	Data Operations Analyst	YipitData	skipped_title
https://job-boards.greenhouse.io/bswiftindia/jobs/4664160006	2026-05-01	Greenhouse — Business Intelligence 2026	Reporting Analyst / Business Strategy Analyst	bswift India	skipped_title
https://jobs.lever.co/eventbrite/a74c3c1b-3545-4a63-87dc-4afa4d22c594	2026-05-01	Lever — Data Analyst Chicago	Lead Analyst, Customer Insight	Eventbrite	skipped_title
https://careers.united.com/us/en/job/WHQ00025430/Associate-Analyst-Resource-Planning-Industrial-Engineering-Campus-2026-Hires-New-Grads	2026-05-01	United Airlines — websearch	Associate Analyst - Resource Planning (Campus Hire)	United Airlines	skipped_title
https://careers.kraftheinz.com/job/22956685/sr-analyst-log-os-chicago-il/	2026-05-01	Kraft Heinz — websearch	Sr Analyst, LOG.OS	Kraft Heinz	skipped_title
https://job-boards.greenhouse.io/furtherearlycareer/jobs/8384017002	2026-05-01	Greenhouse — Data Analyst 2026	Graduate Leadership Program | Data Analyst	Further	skipped_title
https://job-boards.greenhouse.io/fairlife/jobs/5117349007	2026-05-04	Greenhouse — Data Analyst Chicago	Master Data Analyst	fairlife	added
https://job-boards.greenhouse.io/wilsonelser/jobs/5200828008	2026-05-04	Greenhouse — Data Analyst Chicago	Data Analyst	Wilson Elser	added
https://job-boards.greenhouse.io/dvtrading/jobs/4602186005	2026-05-04	Greenhouse — Data Analyst Chicago	Risk Data Analyst	DV Trading	skipped_expired
https://job-boards.greenhouse.io/betterhelpcom/jobs/5137853008	2026-05-04	Greenhouse — Data Analyst Chicago	Data Analyst, Marketing Inference	BetterHelp	skipped_title
https://job-boards.greenhouse.io/atwellgroup/jobs/5101016007	2026-05-04	Greenhouse — Data Analyst Chicago	Data Analyst	Atwell LLC	added
https://job-boards.greenhouse.io/onboardmeetings/jobs/5799430004	2026-05-04	Greenhouse — Data Analyst Chicago	Data Analyst, Revenue Operations	OnBoard	skipped_expired
https://job-boards.greenhouse.io/axios/jobs/7799102	2026-05-04	Greenhouse — Analytics Engineer	Analytics Engineer	Axios	added
https://job-boards.greenhouse.io/warp/jobs/5828901004	2026-05-04	Greenhouse — Analytics Engineer	Analytics Engineer	Warp	added
https://job-boards.greenhouse.io/affirm/jobs/6660262003	2026-05-04	Greenhouse — Analytics Engineer	Analytics Engineer, People Data	Affirm	skipped_expired
https://job-boards.greenhouse.io/veeamsoftware/jobs/4849334101	2026-05-04	Greenhouse — Business Intelligence	Business Intelligence Analyst	Veeam Software	added
https://job-boards.greenhouse.io/mitratech/jobs/7812294	2026-05-04	Greenhouse — Business Intelligence	Business Intelligence Analyst	Mitratech	skipped_title
https://job-boards.greenhouse.io/srsacquiom/jobs/5111680007	2026-05-04	Greenhouse — Business Intelligence	Business Intelligence Analyst	SRS Acquiom	added
https://job-boards.greenhouse.io/accessibe/jobs/4832761101	2026-05-04	Greenhouse — Business Intelligence	GTM Business Intelligence Analyst	accessiBe	added
https://job-boards.greenhouse.io/justworks/jobs/6824164	2026-05-04	Greenhouse — Business Intelligence	Senior Business Intelligence Analyst	Justworks	skipped_expired
https://job-boards.greenhouse.io/enova/jobs/7365471	2026-05-04	Enova — websearch	Senior Analyst, Strategy & Revenue Operations	Enova International	skipped_expired
https://job-boards.greenhouse.io/recidiviz/jobs/4657637006	2026-05-04	Greenhouse — Data Analyst Chicago	Data Analyst	Recidiviz	added
https://job-boards.greenhouse.io/samsara/jobs/7555223	2026-05-04	Greenhouse — Operations Analyst	Senior Sales Operations Analyst	Samsara	added
